68134, 47, 'ЖК', 'МЛАДОСТ 1', 'жк МЛАДОСТ 1', 'ZHK', 'MLADOST 1', 'zhk MLADOST 1'
68134, 48, 'ЖК', 'МЛАДОСТ 1А', 'жк МЛАДОСТ 1А', 'ZHK', 'MLADOST 1A', 'zhk MLADOST 1A'
68134, 49, 'ЖК', 'МЛАДОСТ 2', 'жк МЛАДОСТ 2', 'ZHK', 'MLADOST 2', 'zhk MLADOST 2'
68134, 50, 'ЖК', 'МЛАДОСТ 3', 'жк МЛАДОСТ 3', 'ZHK', 'MLADOST 3', 'zhk MLADOST 3'
68134, 51, 'ЖК', 'МЛАДОСТ 4', 'жк МЛАДОСТ 4', 'ZHK', 'MLADOST 4', 'zhk MLADOST 4'
68134, 52, 'ЖК', 'МОТОПИСТА', 'жк МОТОПИСТА', 'ZHK', 'MOTOPISTA', 'zhk MOTOPISTA'
68134, 53, 'ЖК', 'МУСАГЕНИЦА', 'жк МУСАГЕНИЦА', 'ZHK', 'MUSAGENITSA', 'zhk MUSAGENITSA'
68134, 54, 'ЖК', 'НАДЕЖДА 1', 'жк НАДЕЖДА 1', 'ZHK', 'NADEZHDA 1', 'zhk NADEZHDA 1'
68134, 55, 'ЖК', 'НАДЕЖДА 2', 'жк НАДЕЖДА 2', 'ZHK', 'NADEZHDA 2', 'zhk NADEZHDA 2'
68134, 56, 'ЖК', 'НАДЕЖДА 3', 'жк НАДЕЖДА 3', 'ZHK', 'NADEZHDA 3', 'zhk NADEZHDA 3'
68134, 57, 'ЖК', 'НАДЕЖДА 4', 'жк НАДЕЖДА 4', 'ZHK', 'NADEZHDA 4', 'zhk NADEZHDA 4'
68134, 58, 'ЖК', 'НАДЕЖДА 5', 'жк НАДЕЖДА 5', 'ZHK', 'NADEZHDA 5', 'zhk NADEZHDA 5'
68134, 59, 'ЖК', 'НАДЕЖДА 6', 'жк НАДЕЖДА 6', 'ZHK', 'NADEZHDA 6', 'zhk NADEZHDA 6'
68134, 60, 'ЖК', 'ОБЕЛЯ 1', 'жк ОБЕЛЯ 1', 'ZHK', 'OBELYA 1', 'zhk OBELYA 1'
68134, 61, 'ЖК', 'ОБЕЛЯ 2', 'жк ОБЕЛЯ 2', 'ZHK', 'OBELYA 2', 'zhk OBELYA 2'
68134, 62, 'ЖК', 'ОВЧА КУПЕЛ 1', 'жк ОВЧА КУПЕЛ 1', 'ZHK', 'OVCHA KUPEL 1', 'zhk OVCHA KUPEL 1'
68134, 63, 'ЖК', 'ОВЧА КУПЕЛ 2', 'жк ОВЧА КУПЕЛ 2', 'ZHK', 'OVCHA KUPEL 2', 'zhk OVCHA KUPEL 2'
68134, 64, 'ЖК', 'РАЗСАДНИК КОНЬОВИЦА', 'жк РАЗСАДНИК КОНЬОВИЦА', 'ZHK', 'RAZSADNIK KONYOVITSA', 'zhk RAZSADNIK KONYOVITSA'
68134, 65, 'ЖК', 'СВЕТА ТРОИЦА', 'жк СВЕТА ТРОИЦА', 'ZHK', 'SVETA TROITSA', 'zhk SVETA TROITSA'
68134, 66, 'ЖК', 'СВОБОДА', 'жк СВОБОДА', 'ZHK', 'SVOBODA', 'zhk SVOBODA'
68134, 67, 'ЖК', 'СЕРДИКА', 'жк СЕРДИКА', 'ZHK', 'SERDIKA', 'zhk SERDIKA'
68134, 68, 'ЖК', 'СЛАВИЯ', 'жк СЛАВИЯ', 'ZHK', 'SLAVIA', 'zhk SLAVIA'
68134, 69, 'ЖК', 'СЛАТИНА', 'жк СЛАТИНА', 'ZHK', 'SLATINA', 'zhk SLATINA'
68134, 70, 'ЖК', 'СТЕФАН КАРАДЖА', 'жк СТЕФАН КАРАДЖА', 'ZHK', 'STEFAN KARADZHA', 'zhk STEFAN KARADZHA'
68134, 71, 'ЖК', 'СТРЕЛБИЩЕ', 'жк СТРЕЛБИЩЕ', 'ZHK', 'STRELBISHTE', 'zhk STRELBISHTE'
68134, 73, 'ЖК', 'СУХАТА РЕКА', 'жк СУХАТА РЕКА', 'ZHK', 'SUHATA REKA', 'zhk SUHATA REKA'
68134, 74, 'ЖК', 'ФОНДОВИ ЖИЛИЩА', 'жк ФОНДОВИ ЖИЛИЩА', 'ZHK', 'FONDOVI ZHILISHTA', 'zhk FONDOVI ZHILISHTA'
68134, 75, 'ЖК', 'ХАДЖИ ДИМИТЪР', 'жк ХАДЖИ ДИМИТЪР', 'ZHK', 'HADZHI DIMITAR', 'zhk HADZHI DIMITAR'
68134, 76, 'ЖК', 'ХИПОДРУМА', 'жк ХИПОДРУМА', 'ZHK', 'HIPODRUMA', 'zhk HIPODRUMA'
68134, 77, 'ЖК', 'ЯВОРОВ', 'жк ЯВОРОВ', 'ZHK', 'YAVOROV', 'zhk YAVOROV'
68134, 78, 'КВ.', 'АБДОВИЦА', 'кв. АБДОВИЦА', 'KV.', 'ABDOVITSA', 'kv. ABDOVITSA'
68134, 79, 'КВ.', 'БЕНКОВСКИ', 'кв. БЕНКОВСКИ', 'KV.', 'BENKOVSKI', 'kv. BENKOVSKI'
68134, 80, 'КВ.', 'БОЯНА', 'кв. БОЯНА', 'KV.', 'BOYANA', 'kv. BOYANA'
68134, 81, 'КВ.', 'ВАСИЛ ЛЕВСКИ', 'кв. ВАСИЛ ЛЕВСКИ', 'KV.', 'VASIL LEVSKI', 'kv. VASIL LEVSKI'
68134, 82, 'КВ.', 'ВИТОША', 'кв. ВИТОША', 'KV.', 'VITOSHA', 'kv. VITOSHA'
68134, 83, 'КВ.', 'ВРАЖДЕБНА', 'кв. ВРАЖДЕБНА', 'KV.', 'VRAZHDEBNA', 'kv. VRAZHDEBNA'
68134, 85, 'КВ.', 'ГАРА ИСКЪР', 'кв. ГАРА ИСКЪР', 'KV.', 'GARA ISKAR', 'kv. GARA ISKAR'
68134, 86, 'КВ.', 'ГОРНА БАНЯ', 'кв. ГОРНА БАНЯ', 'KV.', 'GORNA BANYA', 'kv. GORNA BANYA'
68134, 87, 'КВ.', 'ГОРУБЛЯНЕ', 'кв. ГОРУБЛЯНЕ', 'KV.', 'GORUBLYANE', 'kv. GORUBLYANE'
68134, 88, 'КВ.', 'ДИМИТЪР МИЛЕНКОВ', 'кв. ДИМИТЪР МИЛЕНКОВ', 'KV.', 'DIMITAR MILENKOV', 'kv. DIMITAR MILENKOV'
68134, 89, 'КВ.', 'ДРАГАЛЕВЦИ', 'кв. ДРАГАЛЕВЦИ', 'KV.', 'DRAGALEVTSI', 'kv. DRAGALEVTSI'
68134, 90, 'КВ.', 'ИЛИЯНЦИ', 'кв. ИЛИЯНЦИ', 'KV.', 'ILIYANTSI', 'kv. ILIYANTSI'
68134, 91, 'КВ.', 'КИНОЦЕНТЪР', 'кв. КИНОЦЕНТЪР', 'KV.', 'KINOTSENTAR', 'kv. KINOTSENTAR'
68134, 92, 'КВ.', 'КНЯЖЕВО', 'кв. КНЯЖЕВО', 'KV.', 'KNYAZHEVO', 'kv. KNYAZHEVO'
68134, 93, 'КВ.', 'КРИВА РЕКА', 'кв. КРИВА РЕКА', 'KV.', 'KRIVA REKA', 'kv. KRIVA REKA'
68134, 94, 'КВ.', 'КРЪСТОВА ВАДА', 'кв. КРЪСТОВА ВАДА', 'KV.', 'KRASTOVA VADA', 'kv. KRASTOVA VADA'
68134, 95, 'КВ.', 'МАЛАШЕВЦИ', 'кв. МАЛАШЕВЦИ', 'KV.', 'MALASHEVTSI', 'kv. MALASHEVTSI'
68134, 96, 'КВ.', 'МАЛИНОВА ДОЛИНА', 'кв. МАЛИНОВА ДОЛИНА', 'KV.', 'MALINOVA DOLINA', 'kv. MALINOVA DOLINA'
68134, 97, 'КВ.', 'МАНАСТИРСКИ ЛИВАДИ', 'кв. МАНАСТИРСКИ ЛИВАДИ', 'KV.', 'MANASTIRSKI LIVADI', 'kv. MANASTIRSKI LIVADI'
68134, 98, 'КВ.', 'МИРЧО ДРАГАНОВ', 'кв. МИРЧО ДРАГАНОВ', 'KV.', 'MIRCHO DRAGANOV', 'kv. MIRCHO DRAGANOV'
68134, 99, 'КВ.', 'МОДЕРНО ПРЕДГРАДИЕ', 'кв. МОДЕРНО ПРЕДГРАДИЕ', 'KV.', 'MODERNO PREDGRADIE', 'kv. MODERNO PREDGRADIE'
68134, 100, 'КВ.', 'ОБЕЛЯ', 'кв. ОБЕЛЯ', 'KV.', 'OBELYA', 'kv. OBELYA'
68134, 101, 'КВ.', 'ОВЧА КУПЕЛ', 'кв. ОВЧА КУПЕЛ', 'KV.', 'OVCHA KUPEL', 'kv. OVCHA KUPEL'
68134, 102, 'КВ.', 'ОРЛАНДОВЦИ', 'кв. ОРЛАНДОВЦИ', 'KV.', 'ORLANDOVTSI', 'kv. ORLANDOVTSI'
68134, 103, 'КВ.', 'ПАВЛОВО', 'кв. ПАВЛОВО', 'KV.', 'PAVLOVO', 'kv. PAVLOVO'
68134, 104, 'КВ.', 'ПОДУЯНЕ', 'кв. ПОДУЯНЕ', 'KV.', 'PODUYANE', 'kv. PODUYANE'
68134, 105, 'ЖК', 'ПОЛИГОНА', 'жк ПОЛИГОНА', 'ZHK', 'POLIGONA', 'zhk POLIGONA'
68134, 106, 'КВ.', 'РЕДУТА', 'кв. РЕДУТА', 'KV.', 'REDUTA', 'kv. REDUTA'
68134, 107, 'КВ.', 'РЕПУБЛИКА', 'кв. РЕПУБЛИКА', 'KV.', 'REPUBLIKA', 'kv. REPUBLIKA'
68134, 108, 'КВ.', 'СИМЕОНОВО', 'кв. СИМЕОНОВО', 'KV.', 'SIMEONOVO', 'kv. SIMEONOVO'
68134, 109, 'КВ.', 'СУХОДОЛ', 'кв. СУХОДОЛ', 'KV.', 'SUHODOL', 'kv. SUHODOL'
68134, 110, 'КВ.', 'ТРИЪГЪЛНИКА', 'кв. ТРИЪГЪЛНИКА', 'KV.', 'TRIAGALNIKA', 'kv. TRIAGALNIKA'
68134, 111, 'КВ.', 'ФАКУЛТЕТА', 'кв. ФАКУЛТЕТА', 'KV.', 'FAKULTETA', 'kv. FAKULTETA'
68134, 112, 'КВ.', 'ФИЛИПОВЦИ', 'кв. ФИЛИПОВЦИ', 'KV.', 'FILIPOVTSI', 'kv. FILIPOVTSI'
68134, 113, 'КВ.', 'ХЛАДИЛНИКА', 'кв. ХЛАДИЛНИКА', 'KV.', 'HLADILNIKA', 'kv. HLADILNIKA'
68134, 114, 'КВ.', 'ХРИСТО БОТЕВ', 'кв. ХРИСТО БОТЕВ', 'KV.', 'HRISTO BOTEV', 'kv. HRISTO BOTEV'
68134, 115, 'В.З.', 'БЕЛОВОДСКИ ПЪТ', 'в.з. БЕЛОВОДСКИ ПЪТ', 'V.Z.', 'BELOVODSKI PAT', 'v.z. BELOVODSKI PAT'
68134, 116, 'В.З.', 'БУНКЕРА', 'в.з. БУНКЕРА', 'V.Z.', 'BUNKERA', 'v.z. BUNKERA'
68134, 117, 'В.З.', 'КИЛИИТЕ', 'в.з. КИЛИИТЕ', 'V.Z.', 'KILIITE', 'v.z. KILIITE'
